zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2014
15067,STANDARD,0,"New Eagle",,Courtney,PA,"Washington County",America/New_York,724,NA,US,40.2,-79.95,1940
15068,STANDARD,0,"New Kensington","Arnold, Barking, Lower Burrell, New Kensingtn, Parnassus",,PA,"Westmoreland County",America/New_York,724,NA,US,40.56,-79.75,34520
15069,UNIQUE,0,"New Kensington","New Kensingtn","Alcoa Center",PA,"Westmoreland County",America/New_York,724,NA,US,40.56,-79.75,0
15071,STANDARD,0,Oakdale,Noblestown,,PA,"Allegheny County",America/New_York,"724,412",NA,US,40.39,-80.18,10220
15072,"PO BOX",0,Pricedale,,,PA,"Westmoreland County",America/New_York,724,NA,US,40.14,-79.86,146
15074,STANDARD,0,Rochester,,,PA,"Beaver County",America/New_York,"412,724,878",NA,US,40.7,-80.28,8050
15075,"PO BOX",0,"Rural Ridge",,,PA,"Allegheny County",America/New_York,878,NA,US,40.59,-79.83,207
15076,STANDARD,0,Russellton,,,PA,"Allegheny County",America/New_York,724,NA,US,40.61,-79.83,910
15077,"PO BOX",0,Shippingport,,,PA,"Beaver County",America/New_York,724,NA,US,40.62,-80.42,188
15078,STANDARD,0,Slovan,,,PA,"Washington County",America/New_York,724,NA,US,40.36,-80.38,450
15081,"PO BOX",0,"South Heights",,,PA,"Beaver County",America/New_York,724,NA,US,40.57,-80.24,459
15082,"PO BOX",0,Sturgeon,,,PA,"Allegheny County",America/New_York,878,NA,US,40.38,-80.21,386
15083,STANDARD,0,Sutersville,,,PA,"Westmoreland County",America/New_York,878,NA,US,40.26,-79.79,890
15084,STANDARD,0,Tarentum,,,PA,"Allegheny County",America/New_York,724,NA,US,40.6,-79.76,8760
15085,STANDARD,0,Trafford,,,PA,"Westmoreland County",America/New_York,412,NA,US,40.38,-79.75,7520
15086,STANDARD,0,Warrendale,,,PA,"Allegheny County",America/New_York,724,NA,US,40.67,-80.11,350
15087,"PO BOX",0,Webster,,,PA,"Westmoreland County",America/New_York,724,NA,US,40.19,-79.85,238
15088,"PO BOX",0,"West Elizabeth","W Elizabeth",,PA,"Allegheny County",America/New_York,878,NA,US,40.27,-79.9,631
15089,STANDARD,0,"West Newton",,,PA,"Westmoreland County",America/New_York,724,NA,US,40.2,-79.76,5770
15090,STANDARD,0,Wexford,,,PA,"Allegheny County",America/New_York,"724,878",NA,US,40.63,-80.05,22240
15091,"PO BOX",0,Wildwood,,,PA,"Allegheny County",America/New_York,412,NA,US,40.57,-79.95,115
15095,"PO BOX",0,Warrendale,"Bulk Mail Ctr",,PA,"Allegheny County",America/New_York,724,NA,US,40.64,-80.09,0
15096,UNIQUE,0,Warrendale,,"Soc Auto Engineers, Wexford",PA,"Allegheny County",America/New_York,724,NA,US,40.64,-80.09,0
15101,STANDARD,0,"Allison Park",,,PA,"Allegheny County",America/New_York,"412,724",NA,US,40.57,-79.95,24230
15102,STANDARD,0,"Bethel Park",,,PA,"Allegheny County",America/New_York,412,NA,US,40.32,-80.03,28890
15104,STANDARD,0,Braddock,Rankin,,PA,"Allegheny County",America/New_York,412,NA,US,40.4,-79.86,6690
15106,STANDARD,0,Carnegie,Heidelberg,"Collier Township, Collier Twp, Rennerdale",PA,"Allegheny County",America/New_York,412,NA,US,40.4,-80.08,16760
15108,STANDARD,0,Coraopolis,"Moon Township, Moon Twp","Carpolis, Coropolis",PA,"Allegheny County",America/New_York,412,NA,US,40.51,-80.16,37640
15110,STANDARD,0,Duquesne,,,PA,"Allegheny County",America/New_York,412,NA,US,40.37,-79.85,4030
15112,STANDARD,0,"East Pittsburgh","E Pittsburgh","East Pgh",PA,"Allegheny County",America/New_York,412,NA,US,40.4,-79.84,2670
15116,STANDARD,0,Glenshaw,,,PA,"Allegheny County",America/New_York,412,NA,US,40.52,-79.95,14090
15120,STANDARD,0,Homestead,"Munhall, W Homestead, West Homestead, Whitaker",,PA,"Allegheny County",America/New_York,412,NA,US,40.4,-79.9,15960
15122,STANDARD,0,"West Mifflin",Pittsburgh,"W Mifflin/pleasant Hills",PA,"Allegheny County",America/New_York,412,NA,US,40.36,-79.9,17920
15123,STANDARD,0,"West Mifflin",,"Pittsburgh, W Mifflin/pleasant Hills, West Mifflin Century Mall",PA,"Allegheny County",America/New_York,412,NA,US,40.35,-79.9,0
15126,STANDARD,0,Imperial,,,PA,"Allegheny County",America/New_York,"412,724",NA,US,40.45,-80.25,6930
15127,"PO BOX",0,Ingomar,,,PA,"Allegheny County",America/New_York,878,NA,US,40.56,-80.02,283
15129,STANDARD,0,"South Park",Library,,PA,"Allegheny County",America/New_York,878,NA,US,40.29,-79.99,10490
15131,STANDARD,0,Mckeesport,"White Oak",,PA,"Allegheny County",America/New_York,412,NA,US,40.34,-79.8,7400
15132,STANDARD,0,Mckeesport,,,PA,"Allegheny County",America/New_York,412,NA,US,40.33,-79.83,15420
15133,STANDARD,0,Mckeesport,,"Port Vue",PA,"Allegheny County",America/New_York,412,NA,US,40.33,-79.86,5760
15134,"PO BOX",0,Mckeesport,,,PA,"Allegheny County",America/New_York,412,NA,US,40.33,-79.83,237
15135,STANDARD,0,Mckeesport,Boston,,PA,"Allegheny County",America/New_York,412,NA,US,40.31,-79.81,4540
15136,STANDARD,0,"Mc Kees Rocks",,"Mckees Rocks",PA,"Allegheny County",America/New_York,412,NA,US,40.47,-80.1,20050
15137,STANDARD,0,"North Versailles","N Versailles",,PA,"Allegheny County",America/New_York,878,NA,US,40.37,-79.8,8830
15139,STANDARD,0,Oakmont,,,PA,"Allegheny County",America/New_York,412,NA,US,40.52,-79.84,6060
15140,STANDARD,0,Pitcairn,Monroeville,,PA,"Allegheny County",America/New_York,412,NA,US,40.41,-79.78,2490
15142,STANDARD,0,Presto,,,PA,"Allegheny County",America/New_York,412,NA,US,40.38,-80.12,1890
15143,STANDARD,0,Sewickley,Edgeworth,,PA,"Allegheny County",America/New_York,412,NA,US,40.57,-80.15,19900
15144,STANDARD,0,Springdale,,,PA,"Allegheny County",America/New_York,724,NA,US,40.55,-79.78,3740
15145,STANDARD,0,"Turtle Creek",,,PA,"Allegheny County",America/New_York,412,NA,US,40.42,-79.82,5940
15146,STANDARD,0,Monroeville,,,PA,"Allegheny County",America/New_York,412,NA,US,40.42,-79.76,26520
15147,STANDARD,0,Verona,,,PA,"Allegheny County",America/New_York,412,NA,US,40.5,-79.84,14930
15148,STANDARD,0,Wilmerding,Wall,,PA,"Allegheny County",America/New_York,412,NA,US,40.39,-79.81,2120
15201,STANDARD,0,Pittsburgh,Arsenal,"Pgh, Pitt, Pitts",PA,"Allegheny County",America/New_York,"412,724",NA,US,40.47,-79.95,10590
15202,STANDARD,0,Pittsburgh,"Avalon, Bellevue, Bellvue, Ben Avon, Emsworth","Ben Avon Heights, Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.51,-80.07,17450
15203,STANDARD,0,Pittsburgh,Carson,"Pgh, Pitt",PA,"Allegheny County",America/New_York,"412,724",NA,US,40.43,-79.97,6550
15204,STANDARD,0,Pittsburgh,Corliss,"Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.46,-80.06,7090
15205,STANDARD,0,Pittsburgh,Crafton,"Ingram, Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.44,-80.1,20120
15206,STANDARD,0,Pittsburgh,"East Liberty",,PA,"Allegheny County",America/New_York,412,NA,US,40.47,-79.91,22840
15207,STANDARD,0,Pittsburgh,Hazelwood,,PA,"Allegheny County",America/New_York,412,NA,US,40.4,-79.93,9200
15208,STANDARD,0,Pittsburgh,Homewood,"Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.45,-79.9,8140
15209,STANDARD,0,Pittsburgh,Millvale,"Pgh, Pitt",PA,"Allegheny County",America/New_York,"412,724",NA,US,40.5,-79.97,11590
15210,STANDARD,0,Pittsburgh,"Mount Oliver, Mt Oliver","Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.41,-79.98,21930
15211,STANDARD,0,Pittsburgh,"Mount Washington, Mt Washington","Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-80.02,8910
15212,STANDARD,0,Pittsburgh,Allegheny,"Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.46,-79.99,22660
15213,STANDARD,0,Pittsburgh,Oakland,,PA,"Allegheny County",America/New_York,"878,412,724",NA,US,40.44,-79.96,7830
15214,STANDARD,0,Pittsburgh,Observatory,"Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.49,-80.01,12660
15215,STANDARD,0,Pittsburgh,"Aspinwall, Sharpsburg","Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.5,-79.91,11470
15216,STANDARD,0,Pittsburgh,"South Hills","Beechview, Dormont, Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.4,-80.03,20770
15217,STANDARD,0,Pittsburgh,"Squirrel Hill",,PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.92,21820
15218,STANDARD,0,Pittsburgh,Swissvale,"Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.42,-79.89,12130
15219,STANDARD,0,Pittsburgh,,,PA,"Allegheny County",America/New_York,"412,724",NA,US,40.44,-79.98,7620
15220,STANDARD,0,Pittsburgh,Wabash,"Pgh, Pitt, Rook",PA,"Allegheny County",America/New_York,412,NA,US,40.42,-80.05,16020
15221,STANDARD,0,Pittsburgh,Wilkinsburg,"Braddock Hills, Churchill, Forest Hills, Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.44,-79.86,25680
15222,STANDARD,0,Pittsburgh,,"Pgh, Pitt",PA,"Allegheny County",America/New_York,"412,724",NA,US,40.45,-79.99,3170
15223,STANDARD,0,Pittsburgh,Etna,"Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.51,-79.95,6500
15224,STANDARD,0,Pittsburgh,Bloomfield,"Pgh, Pitt",PA,"Allegheny County",America/New_York,"878,412,724",NA,US,40.46,-79.94,8140
15225,STANDARD,0,Pittsburgh,"Neville Is, Neville Island","Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.51,-80.11,950
15226,STANDARD,0,Pittsburgh,Brookline,"Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.4,-80.01,12340
15227,STANDARD,0,Pittsburgh,Brentwood,"Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.38,-79.97,27290
15228,STANDARD,0,Pittsburgh,"Mount Lebanon, Mt Lebanon","Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.37,-80.04,17360
15229,STANDARD,0,Pittsburgh,"West View","Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.52,-80.04,13040
15230,"PO BOX",0,Pittsburgh,,,PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,676
15231,"PO BOX",0,Pittsburgh,"Pgh Int Arprt",,PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15232,STANDARD,0,Pittsburgh,Shadyside,"Pgh, Pitt",PA,"Allegheny County",America/New_York,"412,724,878",NA,US,40.45,-79.93,7070
15233,STANDARD,0,Pittsburgh,Kilbuck,"Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.46,-80.03,2320
15234,STANDARD,0,Pittsburgh,"Castle Shann, Castle Shannon","Baldwin, Baldwin Township, BRA# 52, Castl Shannon, Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.37,-80.02,12970
15235,STANDARD,0,Pittsburgh,"Penn Hills","Pgh, Pitt, Universal",PA,"Allegheny County",America/New_York,412,NA,US,40.46,-79.82,32400
15236,STANDARD,0,Pittsburgh,"Pleasant Hills, Pleasant Hls, West Mifflin","Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.35,-79.98,29330
15237,STANDARD,0,Pittsburgh,"Mc Knight, Mcknight","Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.55,-80.04,41070
15238,STANDARD,0,Pittsburgh,Blawnox,"Fox Chapel, Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.54,-79.88,12800
15239,STANDARD,0,Pittsburgh,Plum,"Pgh, Pitt",PA,"Allegheny County",America/New_York,412,NA,US,40.48,-79.74,20510
15240,"PO BOX",0,Pittsburgh,,"Pgh, Pitt, Veterans Hospital",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15241,STANDARD,0,Pittsburgh,"Upper Saint Clair, Upper St Clair, Uppr St Clair","South Hills Village",PA,"Allegheny County",America/New_York,"412,724",NA,US,40.33,-80.08,21140
15242,"PO BOX",0,Pittsburgh,Greentree,,PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,61
15243,STANDARD,0,Pittsburgh,Cedarhurst,,PA,"Allegheny County",America/New_York,"412,724",NA,US,40.38,-80.07,13270
15244,"PO BOX",0,Pittsburgh,Montour,,PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,69
15250,"PO BOX",0,Pittsburgh,,,PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15251,"PO BOX",0,Pittsburgh,,,PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15252,UNIQUE,0,Pittsburgh,,"Mellon Bank",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15253,STANDARD,0,Pittsburgh,,"Mellon Bank",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15254,UNIQUE,0,Pittsburgh,,"Mellon Bank",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15255,UNIQUE,0,Pittsburgh,,"Bell Telephone Co",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15257,UNIQUE,0,Pittsburgh,,"Mellon Bank",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15258,UNIQUE,0,Pittsburgh,,"Mellon Bank",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,45
15259,UNIQUE,0,Pittsburgh,,"Mellon Bank",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15260,STANDARD,0,Pittsburgh,,"Univ Of Pittsburgh",PA,"Allegheny County",America/New_York,"412,724",NA,US,40.44,-79.95,29
15261,UNIQUE,0,Pittsburgh,,"Univ Of Pittsburgh",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15262,UNIQUE,0,Pittsburgh,,"Mellon Bank 1",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15263,UNIQUE,1,Pittsburgh,,"Jones And Laughlin",PA,"Allegheny County",America/New_York,412,NA,US,40.44,-79.98,0
15264,"PO BOX",0,Pittsburgh,,,PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15265,UNIQUE,0,Pittsburgh,,"Pnc Bank Pitts",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15266,UNIQUE,1,Pittsburgh,,"Duguesne Light Co",PA,,,,NA,US,40.44,-79.99,0
15267,UNIQUE,0,Pittsburgh,,Duguesne,PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15268,UNIQUE,0,Pittsburgh,,"National City Bank",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15270,UNIQUE,0,Pittsburgh,,"Columbia Gas Of Pa",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15272,STANDARD,0,Pittsburgh,,,PA,"Allegheny County",America/New_York,"724,412",NA,US,40.43,-79.97,75
15273,STANDARD,1,Pittsburgh,,,PA,,,,NA,US,40.37,-79.9,0
15274,"PO BOX",0,Pittsburgh,,,PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15275,STANDARD,0,Pittsburgh,,,PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,13
15276,STANDARD,0,Pittsburgh,,,PA,"Allegheny County",America/New_York,"412,724",NA,US,40.43,-79.97,0
15277,UNIQUE,0,Pittsburgh,,"Eastern Area",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15278,UNIQUE,0,Pittsburgh,,"National City Bank",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15279,UNIQUE,0,Pittsburgh,,"Duquesne Light Co",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15281,UNIQUE,0,Pittsburgh,,"Macys Dept Store",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15282,UNIQUE,0,Pittsburgh,,"Duquesne Univ",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,16
15283,UNIQUE,0,Pittsburgh,,"AT & T",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15285,UNIQUE,1,Pittsburgh,,"Joseph Horne Co",PA,"Allegheny County",America/New_York,412,NA,US,40.44,-79.99,0
15286,UNIQUE,0,Pittsburgh,,"Mellon Bank",PA,"Allegheny County",America/New_York,412,NA,US,40.43,-79.97,0
15288,STANDARD,1,Pittsburgh,Carnegie,,PA,,,,NA,US,40.44,-79.94,0
15289,UNIQUE,0,Pittsburgh,,"Carnegie Mellon Univ",PA,"Allegheny County",America/New_York,412,NA,US,40.44,-79.94,123
15290,STANDARD,0,Pittsburgh,,,PA,"Allegheny County",America/New_York,"724,412",NA,US,40.46,-80.02,0
15295,STANDARD,0,Pittsburgh,,,PA,"Allegheny County",America/New_York,"412,724",NA,US,40.43,-79.88,0
15301,STANDARD,0,Washington,,Wash,PA,"Washington County",America/New_York,"412,724",NA,US,40.17,-80.24,42690
15310,STANDARD,0,Aleppo,,,PA,"Greene County",America/New_York,724,NA,US,39.82,-80.45,250
15311,STANDARD,0,Amity,,,PA,"Washington County",America/New_York,724,NA,US,40.05,-80.2,1240
15312,STANDARD,0,Avella,Rea,,PA,"Washington County",America/New_York,"412,724",NA,US,40.28,-80.47,3270
15313,"PO BOX",0,Beallsville,,,PA,"Washington County",America/New_York,724,NA,US,40.07,-80.02,432
15314,STANDARD,0,Bentleyville,,,PA,"Washington County",America/New_York,724,NA,US,40.11,-80,3020
15315,"PO BOX",0,Bobtown,,,PA,"Greene County",America/New_York,724,NA,US,39.75,-79.98,672
15316,STANDARD,0,Brave,,,PA,"Greene County",America/New_York,724,NA,US,39.72,-80.25,210
15317,STANDARD,0,Canonsburg,"Mc Murray, Mcmurray",,PA,"Washington County",America/New_York,724,NA,US,40.26,-80.18,37870
15320,STANDARD,0,Carmichaels,,Fairdale,PA,"Greene County",America/New_York,724,NA,US,39.89,-79.97,4560
15321,STANDARD,0,Cecil,,,PA,"Washington County",America/New_York,724,NA,US,40.32,-80.19,1700
15322,STANDARD,0,Clarksville,,,PA,"Greene County",America/New_York,724,NA,US,39.97,-80.04,1670
15323,STANDARD,0,Claysville,,,PA,"Washington County",America/New_York,724,NA,US,40.12,-80.41,4180
15324,"PO BOX",0,Cokeburg,,,PA,"Washington County",America/New_York,724,NA,US,40.1,-80.07,619
15325,"PO BOX",0,Crucible,,,PA,"Greene County",America/New_York,724,NA,US,39.95,-79.96,468
15327,STANDARD,0,Dilliner,,,PA,"Greene County",America/New_York,724,NA,US,39.75,-79.99,1110
15329,STANDARD,0,Prosperity,,,PA,"Washington County",America/New_York,724,NA,US,40.02,-80.25,1480
15330,STANDARD,0,"Eighty Four",,,PA,"Washington County",America/New_York,724,NA,US,40.18,-80.13,5050
15331,"PO BOX",0,Ellsworth,,,PA,"Washington County",America/New_York,724,NA,US,40.1,-80.02,968
15332,STANDARD,0,Finleyville,,,PA,"Washington County",America/New_York,724,NA,US,40.25,-80,7520
15333,STANDARD,0,Fredericktown,,,PA,"Washington County",America/New_York,724,NA,US,40.02,-80.03,1740
15334,STANDARD,0,"Garards Fort",,,PA,"Greene County",America/New_York,724,NA,US,39.81,-79.97,186
15336,"PO BOX",0,Gastonville,,,PA,"Washington County",America/New_York,724,NA,US,40.26,-80,116
15337,STANDARD,0,Graysville,,,PA,"Greene County",America/New_York,724,NA,US,39.95,-80.38,590
15338,STANDARD,0,Greensboro,,,PA,"Greene County",America/New_York,724,NA,US,39.78,-79.99,1450
15339,"PO BOX",0,Hendersonville,Hendersonvlle,Canonsburg,PA,"Washington County",America/New_York,724,NA,US,40.32,-80.21,267
15340,STANDARD,0,Hickory,,,PA,"Washington County",America/New_York,724,NA,US,40.3,-80.32,1340
15341,STANDARD,0,Holbrook,,,PA,"Greene County",America/New_York,724,NA,US,39.84,-80.34,690
15342,STANDARD,0,Houston,,,PA,"Washington County",America/New_York,412,NA,US,40.25,-80.21,4490
15344,STANDARD,0,Jefferson,,,PA,"Greene County",America/New_York,724,NA,US,39.93,-80.05,1420
15345,STANDARD,0,Marianna,,,PA,"Washington County",America/New_York,724,NA,US,40.01,-80.11,1390
15346,"PO BOX",0,Mather,,,PA,"Greene County",America/New_York,724,NA,US,39.94,-80.08,644
15347,"PO BOX",0,"Meadow Lands",,,PA,"Washington County",America/New_York,724,NA,US,40.22,-80.22,785
15348,"PO BOX",0,Millsboro,,,PA,"Washington County",America/New_York,724,NA,US,39.99,-80,336
15349,STANDARD,0,"Mount Morris","Davistown, Mt Morris",,PA,"Greene County",America/New_York,724,NA,US,39.75,-80.11,1580
15350,"PO BOX",0,Muse,,,PA,"Washington County",America/New_York,724,NA,US,40.29,-80.2,663
