Item,Location Name,County,Address,City ,Phone,Details ,Website,
Air conditioners,Allegheny Iron & Metal Co. Inc.,Philadelphia , 2200 E Adams Ave,Philadelphia,215-743-7760,White Goods,WWW.ALLEGHENYIRON.COM
Air conditioners,Balaur Recycling Co.,Philadelphia , 3800 Jasper St,Philadelphia,215-279-8923,White Goods,http://www.balaur-recycling.com
Air conditioners,Glory Recycling,Philadelphia , 2034 W Allegheny Ave,Philadelphia,267-228-4458,White Goods,
Air conditioners,"Morris Iron & Steel Co., Inc.",Philadelphia , 7345 Milnor St,Philadelphia,215-624-6526,White Goods,www.morrisironandsteel.com
Air conditioners,"Morris Iron & Steel Co., Inc.",Philadelphia , 271 W Berks St,Philadelphia,267-239-0154,White Goods,www.morrisironandsteel.com
Aluminum,M Dunn Recycling,Philadelphia , 3611 Welsh Rd,Philadelphia,215-624-2420,Aluminum Cans ,www.dunnrecyclingpa.com
Aluminum,American Box & Recycling Co.,Philadelphia , 3900 N 10th St,Philadelphia,215-599-2350,Aluminum Cans ,www.amboxco.com
Aluminum,Balaur Recycling Co.,Philadelphia , 3800 Jasper St,Philadelphia,215-279-8923,Aluminum Cans ,http://www.balaur-recycling.com
Aluminum,East Coast Recycling,Philadelphia , 3301 Tulip St,Philadelphia,215-634-2030,Aluminum Cans ,
Aluminum,Glory Recycling,Philadelphia , 2034 W Allegheny Ave,Philadelphia,267-228-4458,Aluminum Cans ,
Aluminum,"John D'Orazio and Sons, Inc.",Philadelphia , 2900 E Bridge St,Philadelphia,215-743-9440,Aluminum Cans ,www.johndorazioandsons.com
Aluminum,"Morris Iron & Steel Co., Inc.",Philadelphia , 7345 Milnor St,Philadelphia,215-624-6526,Aluminum Cans ,www.morrisironandsteel.com
Aluminum,NDV Recycling,Philadelphia , 3630 N 2nd St,Philadelphia,215-423-0690,Aluminum Cans ,http://ndvrecycling.com
Aluminum,"Newman and Company, Inc.",Philadelphia , 6101 Tacony St,Philadelphia,215-333-8700,Aluminum Cans ,www.newmanpaperboard.com
Aluminum,Nicetown Salvage Co.,Philadelphia , 4027 Germantown Ave,Philadelphia,215-225-7822,Aluminum Cans ,
Aluminum,"Northeast Metal Traders, Inc.",Philadelphia , 7345 Minor St,Philadelphia,215-624-7260,Aluminum Cans ,www.metaltrader.com
Aluminum,Pasco Incorporated,Philadelphia , 7250 Paschall Ave,Philadelphia,215-365-3433,Aluminum Cans ,www.pascometalrecycling.com
Aluminum,Penn Treaty Metals,Philadelphia , 1415 Frankford Ave,Philadelphia,215-365-3433,Aluminum Cans ,www.penntreatyindustries.com
Aluminum,Philadelphia Transcyclery Co.,Philadelphia , 2209 S 58th St,Philadelphia,215-739-1175,Aluminum Cans ,www.republicservices.com
Aluminum,ReCommunityPhiladelphia,Philadelphia , 2904 Ellsworth St,Philadelphia,215-462-7372,Aluminum Cans ,www.recommunity.com
Aluminum,Robert Krevitz Metal Co.,Philadelphia , 2117 E York St,Philadelphia,215-634-6990,Aluminum Cans ,
Aluminum,"S.D. Richman Sons, Inc.",Philadelphia , 2435 Wheatsheaf Ln,Philadelphia,215-535-5100,Aluminum Cans ,www.sdrichmansons.com
Aluminum,Sullivan's Scrap Metals,Philadelphia , 2710 E Westmoreland St,Philadelphia,215-442-1504,Aluminum Cans ,www.sullivanscrap.com
Aluminum,WestRock,Philadelphia , 5000 Flat Rock Rd,Philadelphia,215-254-1455,Aluminum Cans ,WWW.WESTROCK.COM
Aluminum,"William G. Smith & Sons, Inc.",Philadelphia ,2348 & 2350 N 2nd St,Philadelphia,215-763-5528,Aluminum Cans ,
Antifreeze,City ofPhiladelphia Streets Department,Philadelphia ,"730 Municipal Services Building
1401 John F. Kennedy Boulevard",Philadelphia,215-686-5560,"The Counties of Bucks, Chester, Delaware, Montgomery andPhiladelphia have partnered together to host HHW events. Residents of each County can attend any of the events hosted in the region.",http://www.philadelphiastreets.com/hazardous-waste/
Appliances (with Freon),Allegheny Iron & Metal Co. Inc.,Philadelphia , 2200 E Adams Ave,Philadelphia,215-743-7760,White Goods,WWW.ALLEGHENYIRON.COM
Appliances (with Freon),Balaur Recycling Co.,Philadelphia , 3800 Jasper St,Philadelphia,215-279-8923,White Goods,http://www.balaur-recycling.com
Appliances (with Freon),Glory Recycling,Philadelphia , 2034 W Allegheny Ave,Philadelphia,267-228-4458,White Goods,
Appliances (with Freon),"Morris Iron & Steel Co., Inc.",Philadelphia , 7345 Milnor St,Philadelphia,215-624-6526,White Goods,www.morrisironandsteel.com
Appliances (with Freon),"Morris Iron & Steel Co., Inc.",Philadelphia , 271 W Berks St,Philadelphia,267-239-0154,White Goods,www.morrisironandsteel.com
Appliances (No Freon),Allegheny Iron & Metal Co. Inc.,Philadelphia , 2200 E Adams Ave,Philadelphia,215-743-7760,White Goods,WWW.ALLEGHENYIRON.COM
Appliances (No Freon),Balaur Recycling Co.,Philadelphia , 3800 Jasper St,Philadelphia,215-279-8923,White Goods,http://www.balaur-recycling.com
Appliances (No Freon),Glory Recycling,Philadelphia , 2034 W Allegheny Ave,Philadelphia,267-228-4458,White Goods,
Appliances (No Freon),"Morris Iron & Steel Co., Inc.",Philadelphia , 7345 Milnor St,Philadelphia,215-624-6526,White Goods,www.morrisironandsteel.com
Appliances (No Freon),"Morris Iron & Steel Co., Inc.",Philadelphia , 271 W Berks St,Philadelphia,267-239-0154,White Goods,www.morrisironandsteel.com
Appliances (No Freon),"S.D. Richman Sons, Inc.",Philadelphia , 2435 Wheatsheaf Ln,Philadelphia,215-535-5100,White Goods,www.sdrichmansons.com
Asbestos,City ofPhiladelphia Streets Department,Philadelphia ,"730 Municipal Services Building
1401 John F. Kennedy Boulevard",Philadelphia,215-686-5560,"The Counties of Bucks, Chester, Delaware, Montgomery andPhiladelphia have partnered together to host HHW events. Residents of each County can attend any of the events hosted in the region.",http://www.philadelphiastreets.com/hazardous-waste/
"Asphalt, Brick, Concrete, Gravel, & Porcelain",American Box & Recycling Co.,Philadelphia , 3900 N 10th St,Philadelphia,215-599-2350,Pallets ,www.amboxco.com
"Asphalt, Brick, Concrete, Gravel, & Porcelain","Delaware Valley Recycling, Inc.",Philadelphia , 3107 S 61st St,Philadelphia,215-724-2244,"Concrete, Asphalt, Brick, and Cinder Block ",www.hkgroup.com
"Asphalt, Brick, Concrete, Gravel, & Porcelain","Kevin Brooks Salvage, LLC",Philadelphia , 528 W Oxford St,Philadelphia,215-498-9495,Brick and Stone ,www.kevinbrookssalvage.com
"Asphalt, Brick, Concrete, Gravel, & Porcelain",Philadelphia Transcyclery Co.,Philadelphia , 2209 S 58th St,Philadelphia,215-739-1175,"Concrete, Bricks, Lumber, Plaster, Shingles, Asphalt, Ceiling/Wall Tile ",www.republicservices.com
"Asphalt, Brick, Concrete, Gravel, & Porcelain",Revolution Recovery LLC,Philadelphia , 7333 Milnor St,Philadelphia, Avi Golen 215-333-6505,"Gypsum Wall Board, Clean Concrete, Brick, and Block",www.revolutionrecovery.com
"Asphalt, Brick, Concrete, Gravel, & Porcelain",Richard S. Burns and Co. Inc.,Philadelphia , 4400 Rising Sun Ave,Philadelphia,215-324-6377,"Concrete (Rebar OK), Brick, Block, and Wallboard ",http://BURNSCOMPANY.NET/
"Asphalt, Brick, Concrete, Gravel, & Porcelain",Winzinger Recycling,Philadelphia , Delaware & Allegheny Ave,Philadelphia, Phil 215-425-4422,"Clean and Spearated Concrete, Asphalt, Brick, and Cinder Block ",www.winzinger.com
"Audio/Videotapes, CDs, DVDs, & Records",Donate,Philadelphia ,,,,,
Automotive Parts & Liquids,City ofPhiladelphia Streets Department,Philadelphia ,"730 Municipal Services Building
1401 John F. Kennedy Boulevard",Philadelphia,215-686-5560,"The Counties of Bucks, Chester, Delaware, Montgomery andPhiladelphia have partnered together to host HHW events. Residents of each County can attend any of the events hosted in the region.",http://www.philadelphiastreets.com/hazardous-waste/
Ballast,City ofPhiladelphia Streets Department,Philadelphia ,"730 Municipal Services Building
1401 John F. Kennedy Boulevard",Philadelphia,215-686-5560,"The Counties of Bucks, Chester, Delaware, Montgomery andPhiladelphia have partnered together to host HHW events. Residents of each County can attend any of the events hosted in the region.",http://www.philadelphiastreets.com/hazardous-waste/
Batteries (Button Cell),City ofPhiladelphia Streets Department,Philadelphia ,"730 Municipal Services Building
1401 John F. Kennedy Boulevard",Philadelphia,215-686-5560,"The Counties of Bucks, Chester, Delaware, Montgomery andPhiladelphia have partnered together to host HHW events. Residents of each County can attend any of the events hosted in the region.",http://www.philadelphiastreets.com/hazardous-waste/
Batteries (Lead Acid),All Met Recycling,Philadelphia , 2200 Adams Ave,Philadelphia,215-537-5904,Auto Batteries ,www.all-metrecycling.com
Batteries (Lead Acid),Glory Recycling,Philadelphia , 2034 W Allegheny Ave,Philadelphia,267-228-4458,Auto Batteries ,
Batteries (Lead Acid),NDV Recycling,Philadelphia , 3630 N 2nd St,Philadelphia,215-423-0690,Auto Batteries ,http://ndvrecycling.com
Batteries (Lead Acid),Nicholas Scrap Metal Inc.,Philadelphia , 3812 Old York Rd,Philadelphia,215-225-2121,Auto Batteries ,http://nicholasscrapmetal.com
Batteries (Lead Acid),City ofPhiladelphia Streets Department,Philadelphia ,"730 Municipal Services Building
1401 John F. Kennedy Boulevard",Philadelphia,215-686-5560,"The Counties of Bucks, Chester, Delaware, Montgomery andPhiladelphia have partnered together to host HHW events. Residents of each County can attend any of the events hosted in the region.",http://www.philadelphiastreets.com/hazardous-waste/
Biohazardous Waste,City ofPhiladelphia Streets Department,Philadelphia ,"730 Municipal Services Building
1401 John F. Kennedy Boulevard",Philadelphia,215-686-5560,"The Counties of Bucks, Chester, Delaware, Montgomery andPhiladelphia have partnered together to host HHW events. Residents of each County can attend any of the events hosted in the region.",http://www.philadelphiastreets.com/hazardous-waste/
Bricks,American Box & Recycling Co.,Philadelphia , 3900 N 10th St,Philadelphia,215-599-2350,Pallets ,www.amboxco.com
Bricks,"Delaware Valley Recycling, Inc.",Philadelphia , 3107 S 61st St,Philadelphia,215-724-2244,"Concrete, Asphalt, Brick, and Cinder Block ",www.hkgroup.com
Bricks,"Kevin Brooks Salvage, LLC",Philadelphia , 528 W Oxford St,Philadelphia,215-498-9495,Brick and Stone ,www.kevinbrookssalvage.com
Bricks,Philadelphia Transcyclery Co.,Philadelphia , 2209 S 58th St,Philadelphia,215-739-1175,"Concrete, Bricks, Lumber, Plaster, Shingles, Asphalt, Ceiling/Wall Tile ",www.republicservices.com
Bricks,Revolution Recovery LLC,Philadelphia , 7333 Milnor St,Philadelphia, Avi Golen 215-333-6505,"Gypsum Wall Board, Clean Concrete, Brick, and Block",www.revolutionrecovery.com
Bricks,Richard S. Burns and Co. Inc.,Philadelphia , 4400 Rising Sun Ave,Philadelphia,215-324-6377,"Concrete (Rebar OK), Brick, Block, and Wallboard ",http://BURNSCOMPANY.NET/
Bricks,Winzinger Recycling,Philadelphia , Delaware & Allegheny Ave,Philadelphia, Phil 215-425-4422,"Clean and Spearated Concrete, Asphalt, Brick, and Cinder Block ",www.winzinger.com
Building Materials,American Box & Recycling Co.,Philadelphia , 3900 N 10th St,Philadelphia,215-599-2350,Pallets ,www.amboxco.com
Building Materials,"Delaware Valley Recycling, Inc.",Philadelphia , 3107 S 61st St,Philadelphia,215-724-2244,"Concrete, Asphalt, Brick, and Cinder Block ",www.hkgroup.com
Building Materials,"Kevin Brooks Salvage, LLC",Philadelphia , 528 W Oxford St,Philadelphia,215-498-9495,Brick and Stone ,www.kevinbrookssalvage.com
Building Materials,Philadelphia Transcyclery Co.,Philadelphia , 2209 S 58th St,Philadelphia,215-739-1175,"Concrete, Bricks, Lumber, Plaster, Shingles, Asphalt, Ceiling/Wall Tile ",www.republicservices.com
Building Materials,Revolution Recovery LLC,Philadelphia , 7333 Milnor St,Philadelphia, Golen 215-333-6505,"Gypsum Wall Board, Clean Concrete, Brick, and Block",www.revolutionrecovery.com
Building Materials,Richard S. Burns and Co. Inc.,Philadelphia , 4400 Rising Sun Ave,Philadelphia,215-324-6377,"Concrete (Rebar OK), Brick, Block, and Wallboard ",http://BURNSCOMPANY.NET/
Building Materials,Winzinger Recycling,Philadelphia , Delaware & Allegheny Ave,Philadelphia, 215-425-4422,"Clean and Spearated Concrete, Asphalt, Brick, and Cinder Block ",www.winzinger.com
Bulbs,City ofPhiladelphia Streets Department,Philadelphia ,"730 Municipal Services Building
1401 John F. Kennedy Boulevard",Philadelphia,215-686-5560,"The Counties of Bucks, Chester, Delaware, Montgomery andPhiladelphia have partnered together to host HHW events. Residents of each County can attend any of the events hosted in the region.",http://www.philadelphiastreets.com/hazardous-waste/
Cardboard,American Box & Recycling Co.,Philadelphia , 3900 N 10th St,Philadelphia,215-599-2350,Corrugated Containers (Baled),www.amboxco.com
Cardboard,Balaur Recycling Co.,Philadelphia , 3800 Jasper St,Philadelphia,215-279-8923,"Corrugated Containers, Office Paper, Newspapers, White Ledger Paper",http://www.balaur-recycling.com
Cardboard,"John D'Orazio and Sons, Inc.",Philadelphia , 2900 E Bridge St,Philadelphia,215-743-9440,"Corrugated Containers, Office Paper ",www.johndorazioandsons.com
Cardboard,"Newman and Company, Inc.",Philadelphia , 6101 Tacony St,Philadelphia,215-333-8700,"Boxboard, Corrugated Containers, Office Paper, Newspapers, White Ledger Paper ",www.newmanpaperboard.com
Cardboard,Philadelphia Recycling Company,Philadelphia , 3022 N 16th St,Philadelphia,215-990-4350,"Corrugated Containers, Newspapers, Office Papers",www.philadelphiarecyclingcompany.com
Cardboard,Philadelphia Transcyclery Co.,Philadelphia , 2209 S 58th St,Philadelphia,215-739-1175,Corrugated Containers ,www.republicservices.com
Cardboard,Pinto Brothers Recycling Inc.,Philadelphia , 2408 Ellsworth St,Philadelphia,215-545-3939,"Corrugated Containers, White Ledger Paper, Magazines",
Cardboard,ReCommunityPhiladelphia,Philadelphia , 2904 Ellsworth St,Philadelphia,215-462-7372,"Boxboard, Corrugated Containers, Juice Boxes, Magazines, Junk Mail, Books, Newspapers, Office Papers",www.recommunity.com
Cardboard,Revolution Recovery LLC,Philadelphia , 7333 Milnor St,Philadelphia, Golen 215-333-6505,Clean Cardboard from Construction Projects ,www.revolutionrecovery.com
Cardboard,Richard S. Burns and Co. Inc.,Philadelphia , 4400 Rising Sun Ave,Philadelphia,215-324-6377,Corrugated Containers ,http://BURNSCOMPANY.NET/
Cardboard,United States Recycling Inc.,Philadelphia , 6101 Tacony St,Philadelphia,215-338-5050,"Magazines, Office Papers, Newspapers, Chipboard, Hardbound Books, Phone Books, White Ledger Paper ",www.unitedstatesrecycling.com
Cardboard,Waste ManagementPhiladelphia Recovery Facility,Philadelphia , 5201 Bleigh Ave,Philadelphia,215-708-9423,"Brown Bags/Sacks, Corrugated Containers, Juice Boxes, Office Paper, Newspaper, Junk Mail, Phone Books, Poly-Coated Cartons ",www.wm.com
Cardboard,WestRock,Philadelphia , 5000 Flat Rock Rd,Philadelphia,215-254-1455,"Corrugated Containers, Office Paper, Newspapers ",WWW.WESTROCK.COM
Cardboard,"William G. Smith & Sons, Inc.",Philadelphia ,2348 & 2350 N 2nd St,Philadelphia,215-763-5528,"Newspapers, White Ledger Paper ",
Cardboard,William H. Cooper's Sons Inc.,Philadelphia , 3900 G St,Philadelphia,215-425-1992,Fiber Drums ,
Carpet,Revolution Recovery LLC,Philadelphia , 7333 Milnor St,Philadelphia, Golen 215-333-6505,Carpet ,www.revolutionrecovery.com
Cartons,American Box & Recycling Co.,Philadelphia , 3900 N 10th St,Philadelphia,215-599-2350,Corrugated Containers (Baled),www.amboxco.com
Cartons,Balaur Recycling Co.,Philadelphia , 3800 Jasper St,Philadelphia,215-279-8923,"Corrugated Containers, Office Paper, Newspapers, White Ledger Paper",http://www.balaur-recycling.com
Cartons,"John D'Orazio and Sons, Inc.",Philadelphia , 2900 E Bridge St,Philadelphia,215-743-9440,"Corrugated Containers, Office Paper ",www.johndorazioandsons.com
Cartons,"Newman and Company, Inc.",Philadelphia , 6101 Tacony St,Philadelphia,215-333-8700,"Boxboard, Corrugated Containers, Office Paper, Newspapers, White Ledger Paper ",www.newmanpaperboard.com
